Comment;Statement/No statement;;;;;
Wenn das jeden Tag so aussieht ists ja kein Wunder warum wir seit Jahren auf der Stelle treten...;0;;;;;
Ich hasse zwar die afd. Aber diese aktion ist schon ein bisschen feierbar. :D;0;;;;;
Nun Geschlechter gibt es biologisch zwei. Und wie man sich sonst noch fühlt kann doch niemand berücksichtigen...sonst müssen wir alle aus dem Irrenhaus entlassen die sich als Flugzeug oder Auto fühlen....;1;;;;;
Jetzt frag mal einer den Typen was das alles bedeutet, was er da so schön vorgelesen hat. Wieder einmal ein Beispiel für eine Rede der AfD, bei der sie keine Ahnung hatte, worüber sie spricht;0;;;;;
Haha ist das geil😂;0;;;;;
Bravo! So ist es rechtens!!!;0;;;;;
Homosexuellenrechte Ja, Genderwahn nein... auf jeden Fall ist es super mal wieder Persönlichkeiten in den Parlamenten zu sehen, ich habe gut gelacht :D;1;;;;;
Bin kein AfD Unterstützer, aber das Feier Ich hart😂<br>Props an diese Geniale Idee😂😂😂😂😂😂;0;;;;;
Ich liege uff den Boden vor Lachen.  Herrlich;0;;;;;
Spaßten😂;0;;;;;
Haha;0;;;;;
Wtf;0;;;;;
Zerstört;0;;;;;
Was ist mit den apache kampfhelikoptern? Diese scheiß diskriminierung;1;;;;;
Das ist doch krankes Verhalten!<br>Wir kommen auf einen neuen Level der Dummheit.<br>Es gibt nur Mann, Frau oder Vogel im Kopf!;1;;;;;
Anstatt mal über wichtige Dinge zu reden, muss man sich so einen Müll geben. So Leute sollen dann das Land weiterbringen...;0;;;;;
Ich identifiziere mich als Rizinus Bohne hallo?;1;;;;;
Der war gut...;0;;;;;
Haha 😂😂 Deutschland<br>🙈<br>Brauchen sich die Leute nicht aufregen!<br>Finde es Klasse wie er es gemacht hat der gute Mann.;0;;;;;
Haha 😂😂 Deutschland<br>🙈;0;;;;;
Das ist diese typische europäische Art !<br><br>Jeder erfindet sich neu!<br><br><br>Sehr gut Afd !;0;;;;;
Dafür zahlt man Steuern .;0;;;;;
Was ein Schwachkopf...;0;;;;;
Es gibt zu viele Gender um sie aufzuzählen deswegen bin ich dafür das man nur sehr geehrte Menschen sagt da damit alle Leute angesprochen werden ohne sie zu offenden;1;;;;;
"Ausgerechnet dieser schöne Mensch, &quot;Mister Brandenburg&quot;, hat der AfD jetzt den Rücken gekehrt. Dabei war er doch einst so mit Bernd Höcke &amp; Co. ganz und gar einer Meinung: <br>&quot;Auf einem Parteitag in Hannover hatte er in bewusster Anspielung auf die Goebbelsche Sportpalast-Rhetorik von einem „totalen Krieg gegen das Volk der Dichter und Denker“ gesprochen, den die 68-Generation angeblich führe. Seine Bewerbungsrede kam gut an. Er wurde als Beisitzer in den Vorstand gewählt.&quot;<br><a href=""http://www.maz-online.de/Brandenburg/Austritt-aus-der-AfD-Das-ist-Steffen-Koeniger"">http://www.maz-online.de/Brandenburg/Austritt-aus-der-AfD-Das-ist-Steffen-Koeniger</a><br>Na, so was!";0;;;;;
So ein Schwachsinn!<br>Der Großteil hat doch nicht mal etwas mit dem Geschlecht zu tun!<br>Ich verstehe den Ansatz, dass man zeigen will, dass man nicht immer politisch korrekt sein kann und es deshalb keinen Sinn macht, sich bei solchen Dingen angegriffen zu fühlen.<br>Aber hier wird sich mit einem unqualifizierten Beitrag darüber lustig gemacht und das geht garnicht.;1;;;;;
Die AfD brüstet sich hier mal wieder mit Intoleranz und einem nicht Verständnis. Königer weiß genau, dass diese übertrieben lange Anrede nicht das Resultat dieses Antrags wäre. Es geht hier nicht darum, dass sich Schwule, Lesben oder Transsexuelle mit der Anrede „Damen und Herren“ diskriminiert fühlen. Diese Menschen spielen hier keine Rolle. Es geht um die Bevölkerungsgruppe, die sich als kein spezifisches Geschlecht identifiziert. Also weder Männlich noch Weiblich. Es geht nicht um die sexuelle Orientierung. <br>Nun kann man davon halten was man will, man kann jetzt dagegen sein oder dafür. Aber damit die Anrede künstlich in die länge zu ziehen und den Antrag nicht ernst zu nehmen ist keinem geholfen und dazu sehr unprofessionell.<br>Steffen Königer stellt die Tatsachen hier einfach nur falsch dar und wird hier in der Kommentarsektion dafür bejubelt. Ich würde auch jubeln wenn es etwas mit der Realität zu tun haben würde, es wäre ein gelungener Streich. Aber das hat es nicht.<br><br>Sehr geehrte Damen, Herren und Intersexuelle, die AfD hat ein mal mehr ihre Inkompetenz bewiesen und erntet hier nichts als Lob.;1;;;;;
perfekt 👌🏻;0;;;;;
Let us deny simple biology because someone could be offended yaayy next level stupidity 🙂 politics at highest national stand being absolutely pathetic and ridiculous. I am simply embarrassed;0;;;;;
Es gibt Männer und Frauen und so sollte es auch bleiben;1;;;;;
Gegen die Holzbordsteinkante gelaufen?;0;;;;;
Wer schaut dieses video auch 1870 an und versteht nur den ersten und den letzten Satz?;0;;;;;
😂😂 ich denke das zeigt wie lächerlich die Links-grüne Politik ist.;0;;;;;
Mach mal 10h Version mrk . Die Rede war mal fett für n arsch. Wenn sowas Deutschland repräsentieren soll dann echt tolle Alternative NICHT;0;;;;;
Was soll das jetzt bewirken? Einfach nur spätpubertär provokant und dazu da, die intolerante Zielgruppe aufzugeilen. Klar gibt es Grenzen bei politischer Korrektheit, aber die grundsätzliche Entwicklung hin zu mehr Toleranz ist gut und Das ist es, was die meisten stört.;1;;;;;
"Ich bin Trans und finde &quot;Meine Damen und Herren&quot; oder &quot;Sehr geehrte Damen und Herren&quot; selbstverständlich und ausreichend.";1;;;;;
Hat er auch niemanden vergessen zu erwähnen?;0;;;;;
Wie ich gerade las, kandidiert Herr Königer nicht mehr für den brandenburgischen Landtag.<br>Man stellte ihn nicht mehr auf.<br>Man sagt, das bessere ist der Feind des guten.<br>Hier (bei der Kandidat*Innenauswahl) waren die schlechten die Feinde des besten.;0;;;;;
"Lustig. Zeigt aber auch nur, dass die AfD nicht kapiert, dass LGBTQ-Leute sich sicherlich auch mit &quot;Sehr geehrte Damen und Herren, das Adoptionsrecht für alle ist damit beschlossen.&quot; anfreunden könnten.";1;;;;;
"Die einzige gendergerechte Begrüssung die es gibt, lautet: &quot;Sehr geehrte Damen und Herren. Hallo Idioten!&quot;.";1;;;;;
"oder auch einfach &quot;sehr geehrte Menschen&quot;";0;;;;;
so und ab heute werde ich meine behördenbriefe nur noch so anphangen.;0;;;;;
Was ist mit Apache Kampfhubschrauber?;0;;;;;
Er hat mich völlig vergessen.<br>Ich identifiziere mich selbst als panromantisch pansexuell Genderfluid.;1;;;;;
Sehr geehrte Bla Bla...mehr nicht ?! Schwach...ganz schwach...;0;;;;;
Schön, dass sich mal jemand traut, diesen Irrsinn anzusprechen. Respekt und Daumen noch:);0;;;;;
Es gibt nur Männer und Frauen.;1;;;;;
"Leider müsste eine Ansprache ja so aus schauen, wenn man niemanden &quot;diskriminieren&quot; will.<br>Feier die Afd nicht, feier keine einzige Partei, alle haben ein drecks Programm, aber da hat die Afd aufjedenfall recht. <br>Jedem das seine, der Öffentlichkeit muss man damit aber nicht auf den Sack gehen.";1;;;;;
O Gott ist der dämlich;0;;;;;
sehr geehrte inter hämorrhoiden;1;;;;;
omg wir werden von Idioten regiert !;0;;;;;
Ich kenn das alles gar nicht 😅;0;;;;;
DAS ist ganz großes Tennis !! Den links/grünen Geistesgestörten den Spiegel vorhalten !!!;0;;;;;
Pahahaha wie peinlich, Tarzan kennt nicht mal den Unterschied zwischen Gender und Geschlecht. Das tut ja echt weh. Beim nächsten Mal dann mit etwas Vorwissen. Hahahaha;1;;;;;
Ist das ein Irrenhaus?? Scheinbar ja!!;0;;;;;
Ich finde die afd absolut beschissen, aber da muss ich der afd Recht geben;0;;;;;
Generation der Geisteskranken!!!!!!;0;;;;;
Meine Fresse,wir sind zu einem Witz in der Welt geworden,und nimmt doch keiner mehr für voll.was soll denn der Scheiss;0;;;;;
Hahahaha! Der Mann ist Genial!!;0;;;;;
An alle Meinungsfaschisten: die Zeiten von Goebbels und der Inquisition sind vorbei.;0;;;;;
Das<br>Ist<br>Geniaaaal!;0;;;;;
Ne Sexualität als Geschlecht zu verkaufen 😂😂;1;;;;;
Wie lustig. Wenn man was nicht versteht macht man sich drüber lustig. Die AfD hat ja immer was zu lachen.;0;;;;;
Da weiß ich als direkt angesprochene Transfrau jetzt gar nicht, ob ich mich geschmeichelt oder angegriffen fühlen soll. Dies sind verwirrende Zeiten für uns alle...;1;;;;;
"Wie wäre es mit &quot;Sehr geehrte Menschen&quot;?";0;;;;;
Debatte nicht verstanden.<br>Vollig am Thema vorbei witzeln.<br><br>Was für eine Alternative für Deutschland!<br>Danke für diesen erneuten Beweis dass die AfD für jeden Menschen mit zumindest etwas Verstand unwählbar ist.<br>Die Kommentarspalte hier zeigt uns die andere Seite.<br>Vielleicht sollten einige hier mal einen Deutschkurs besuchen.;1;;;;;
Er zieht es eiskalt durch;0;;;;;
War das eine Rede in echt?;0;;;;;
"Die Welt wird immer irrer.<br><a href=""http://imangedenken.at/"">ImAngedenken.at</a><br>Weder Männchen noch Weibchen?  :-p";0;;;;;
Ich feier die AfD Tag für Tag mehr! Wie recht er einfach hat😂👌;0;;;;;
Metrosexuell fehlt;1;;;;;
Bald seid ihr in der Minderheit;0;;;;;
Alle Nazis hier habt alle Ka von Politik und wählt deswegen die afd;0;;;;;
Genial!;0;;;;;
Ich als homo, find das ganz lustig XD!;1;;;;;
"Excuse me, I&#39;m from Russia. Tell me please the name of the blonde lady. She&#39;s so beautiful!";0;;;;;
Das ist Satire vom feinsten. 😂;0;;;;;
Wie kann man soetwas bitte abfeiern, er macht sich über Menschen und ihre Sexualität lustig...;1;;;;;
Ich identifiziere mich als Frachtschiff,mit jetski fetisch!;1;;;;;
"Wie er einfach immer &quot;gender&quot; falsch ausspricht und Sachen erfindet, die es gar nicht gibt. <br>Das ist die AfD - Proleten mit einer riesen Fresse, die nichts dahinter haben. Keine schlüssigen Argumentationen, keine Inhalte, kein Anstand. Eine Schande, dass eine solche politische Vereinigung in unserem Land überhaupt eine Daseinsberechtigung hat. Und noch schlimmer als die, sind diejenigen, die sie auch noch wählen. 🤦🏼";1;;;;;
Er hat transfrau und transmann doppelt genannt xD;1;;;;;
"Da gehört schon gehörig was dazu, diese &quot;Begrüßung&quot; hinzubekommen.";0;;;;;
Jetzt hat er sich so eine Mühe gegeben und hat sich selber vergessen 🤭;0;;;;;
Auch wenn ich die AfD nicht wählen würde, ist schon ziemlich lustig und auch irgendwie traurig.;0;;;;;
Anders ist der Wahnsinn nicht mehr zu ertragen!;0;;;;;
Mann kann ja die AfD hassen wie man will aber das ist einfach zuuu lustig;0;;;;;
Er sagt einfach nur jedes mal ein anderes Wort für Hurensohn...;0;;;;;
Bin echt kein Fan der Afd, aber das war eine geniale Aktion.;0;;;;;
Der Typ ist so gut...... Die AfDler gefallen mit immer besser....;0;;;;;
Ich mag die AFD überhaupt nicht, aber ich glaub fast jeder mensch mit gesundem menschenverstand hält diesen gender quatsch für idiotisch.;1;;;;;
Ich lehne sie zwar ab, aber der war gut😂;0;;;;;
"Wie fallen einen nur so viele Bezeichnungen ein???!!!! Lustig!<br>(Hätte er &quot;Sehr geehrte Anwesende&quot; oder &quot;Sehr geehrte Menschen&quot; gesagt, hätte keiner gendern können - hehehehe)";0;;;;;
Wenn man keinen Inhalt zu verbreiten hat muss man irgendwie auffüllen.;0;;;;;
Androgyne;1;;;;;
There ARE ONLY 2 Genders!;0;;;;;
CRINGE;0;;;;;
Er hat die Repteloiden Vergessen! richtiger ******. Nur weil wir anders sind?;1;;;;;
"Nun, trzdm <a href=""http://www.youtube.com/results?search_query=%23fckafd"">#fckafd</a>";0;;;;;
Was geht bei dem spasti?;0;;;;;
Und er ist alles in einer Person!;0;;;;;
Wow, möchte nicht wissen wie oft sich dieses arschloch selbst die Palme wedelt, da kann ich seiner Frau nur wärmstens ans Herz legen lesbisch zu werden.<br>Welche sexuellen Vorlieben hatte Alice weidel noch gleich ...? 🤔;0;;;;;
Es gibt 2 Geschlechter. Punkt. Männlich oder weiblich. Wenn sich jemand umoperieren lässt, ist er dann trotzdem ein Geschlecht von den Beiden. Es gibt nur tausende Sexualitäten!;1;;;;;
😂😂😂herrlich verarscht 😂😂😂;0;;;;;
Alter so ein Nazi! Er hat mich bei der Begrüßung nicht erwähnt ich fühle mich als homosexueller pangeschlechtlicher weiblicher Transvestit! Die Afd kann einfach nicht aufhören mit dem diskriminieren der Geschlechter... Trauriges Deutschland;1;;;;;
ich lehne zwar die afd ab aber das war sehr gut;0;;;;;
Leute bin transutan bedeutet das ich jetzt als Orang-Utan gesehen werden will;1;;;;;
Fertig mit begrüssen... Ups,keine zeit übrig :D;0;;;;;
Ich frage mich ehrlich gesagt wie diese Rede Stenografiert wurde haha 😂;0;;;;;
Ein Land in dem solche Dinge auf den Tagesordnungen des Paraments steht werden von nichts weniger als Vollidioten regiert;0;;;;;
AfD ist zu geil;0;;;;;
Dabei hätte er nur sagen müssen: sehr geehrte anwesende Menschen:-));0;;;;;
"Ich identifiziere mich als Napoleon Bonaparte, nennt mich absofort nur noch &quot;Commander&quot;";1;;;;;
Was ein Affe.;0;;;;;
"und zuguterletzt: &quot;Sehr geehrte Vollbekloppte...!&quot;";0;;;;;
So ein idiot;0;;;;;
"Da fehlten zwar noch gut 5.950 andere &quot;Geschlechter&quot; aber es ist ein guter Anfang, denke ich.";1;;;;;
Ich verabscheue die Afd... Das ist aber lustig 😂😂😂;0;;;;;
Erst klang es wie ein Sketch von einem drittklassigen Humoristen. Da könnte man vielleicht noch lachen. <br>Hier nun aber ein Beispiel, wie man mit einer diskriminierenden Absicht etwas tendenziell ulkiges zu etwas fratzenhaften entstellt. <br>Sehr geehrter Herr Neonazi...;1;;;;;
Touché;0;;;;;
Oh mein Gott, ich hasse die AfD jeden Tag mehr.;0;;;;;
Wäre besser wenn er sich mal mit dem Thema beschäftigen würde der Idiot😕 Lächerlich diese Leute! Ich meine wir sind eigentlich auf dem Weg alle zu respektieren, aber diese Partei braucht anscheinend noch 200 Jahre bis sie es toleriert🙄;0;;;;;
Naja zeigt ja nur, dass da jemand nicht verstanden hat, was es mit dieser Genderbewegung auf sich hat. Das sind Individuen die ihre eigene Freiheit so weit gestattet sehen möchten, dass sie sich auch als ein anderes ‘Geschlecht’ identifizieren dürfen und das auch toleriert bzw. im besten Fall akzeptiert wird. Sie wollen damit nicht erreichen, dass die Freiheit eines anderen dadurch wiederum eingeschränkt wird, beispielsweise dadurch, dass man sie einzeln begrüßen muss, so wie es in diesem Video   jedoch gemacht wurde. Schade, dass man das so engstirnig sieht...;1;;;;;
Manchmal muß man wohl auf solchen.... mit dieser Weise umgehen.;0;;;;;
"Der gute Mann hat das Problem genau getroffen. Hätte auch sagen können &quot;sehr geehrte Damen und Herren, und alle Bastarde&quot;";0;;;;;
Sehr geehr... HALLO LEUDE!;0;;;;;
Was ist mit mir? Ich bin pansexuell-traube-minze;1;;;;;
🤣🤣🤣🤣🤣;0;;;;;
Junge wie kann man so nerven...den hätte ich gerne Mal eine gegeben 👊;0;;;;;
Auch wenn ich die Meinungen der afd mehr als nicht Teile, gute Kritik an der Gender Korrektheit 👌🏼;1;;;;;
Man kanns auch ins läcgerliche ziehen...;0;;;;;
Wow, das zieht halt alles ins Lächerliche;0;;;;;
Das ist die AfD. Man lebt in der Vergangenheit, in einer Welt, die es seit 18 Jahren nicht mehr gibt.<br><br>Vor Angst auf die schnell weiterentwickelte und sehr offene Gesellschaft, die nicht mehr vergleichbar ist mit dem gestrigen, versucht man über diese Entwicklung sich lustig zu machen.<br><br>Zum Glück sieht die Mehrheit in unsere Gesellschaft diese Entwicklung komplett anders und eher positiv, als die AfD und deren kleine Wählerschaft.;0;;;;;
Nice, so sollen sich ab sofort die ganzen linken, grünen und roten Drogenabhängige immer begrüssen;0;;;;;
Das ist voll am Thema vorbei und zieht das ganze ins lächerliche. Unnötige Provokation...;0;;;;;
Gefühlt 99% der Kommentare hier sind Müll 🌈🌈;0;;;;;
Auch wenn das jetzt sehr ironisch war ich vertrete auch diese meinung;0;;;;;
Sehr geehrte menschen;0;;;;;
Geil! Die AfD find ich insgesamt zwar nicht so toll, aber manche AfD Politiker haben einfach drauf!;0;;;;;
Saubere Aktion! 😂;0;;;;;
Stell dir mal vor du schreibst ne Bewerbung;0;;;;;
Ich identifiziere mich als TransRechter :D Ich war früher mal links, bin jetzt aber rechts (zumindest laut Aussagen einiger Leute. Eigentlich lehne ich das klassische Links-Rechts-Gedöns für mich persönlich ab. Habe sowohl teils linke als auch teils rechte Ansichten.) :D;1;;;;;
"Bei uns in der Uni ist es verboten, &quot;Schwarzfahren&quot; zu sagen, weil es rassistisch sei. Und die Leute fragen sich, warum man solche Leute nicht ernstnehmen kann.";0;;;;;
"Was bedeutet  &quot;interstern&quot; bitte?";0;;;;;
bester Mann;0;;;;;
Kann mich zwar überhaupt nicht mit der AFD identifizieren aber Hut ab, das war echt witzig :D;0;;;;;
So bescheuert. Typisch AfD. Hauptsache scheiße labern und stören.;0;;;;;
Ich schäme mich, in diesen Staat zu leben.;0;;;;;
"Er hat gewissermaßen den simplen Begriff Mann -&gt; Frau &amp; Frau -&gt; Mann um die 50 mal in verschiedenen umformuleringen wiedergegeben";1;;;;;
was für ein Vollpfosten;0;;;;;
Jede begrüßung dauert jetzt 5 min;0;;;;;
Sehr geehrte Abgeordnete hätte natürlich nicht gereicht.;0;;;;;
Das war ja mal eine Begrüßung;0;;;;;
Das zeigt ja perfekt wie die AfD zur demokratischen Entwicklung beträgt... nämlich gar nicht.<br>Und was sich hier für Leute rumtreiben ist wirklich beschämend.;0;;;;;
Male <br>Female <br>Disorders;0;;;;;
so ein Vollidiot;0;;;;;
Was‘n Kindergarten....‼️🙏;0;;;;;
Schon krass, das in der heutigen Gesellschaft ein “ Damen und Herren “ nicht mehr ausreicht;1;;;;;
Alter halt die fresse;0;;;;;
"Ich wähle auch nur noch AfD, weil sie für mich die einzige Partei ist, welche noch vernünftig für das Volk einsteht und die Stimme erhebt gegen dieses ganze Faministen- und Gendergaga. Aber auch gute Konzepte hat was Flüchtlingskrise, Bargeldabschaffung, GEZ und vieles weitere hat. Den Altparteien und Medien wird dies ungemütlich und deshalb wollen sie die AfD als &quot;Nazis&quot; bezeichnen oder nur als Flüchtlingspartei degradieren und wollen sie mit dieser Keule mundtot machen. Es gibt noch viele sehr hörenswerte Reden der AfD aus Bundes- und Landtagen. Ich wähle nur noch AfD!";1;;;;;
Wer sowas ernst nimmt oder ernsthaft glaubt es gibt mehr als 2 Geschlechter ist absolut, kaum beschreiblich dumm, sowas ist traurig.;1;;;;;
Soll das heißen Schwule sind keine Herren und Lesben und Damen?  HMMMMM? 😂😂;1;;;;;
😂😂😂😂;0;;;;;
Lächerlich, einfach lächerlich und traurig.;0;;;;;
Das ist doch Zeitverschwendung;0;;;;;
Mein Beileid aus Österreich!;0;;;;;
Ich bin zwar kein Fan der AfD aber das find ich richtig;0;;;;;
Der Antrag zielte doch nur darauf ab, die Kategorien Mann und Frau durch ein Spektrum zu ersetzen, in dem sich jeder wiederfinden kann. Diese Antwort durch die AfD ist im Grunde lächerlich, denn sie verfehlt das Thema. Als Trans-Person erwarte ich als Minderheit ja nicht, immer extra erwähnt zu werden, es geht einfach nur um die Anerkennung des Faktes, dass es nicht nur Mann und Frau gibt und auch die Probleme von Menschen, die nicht Teil dieser Kategorien sein wollen Teil des politischen Diskurses sind.<br>Unverständlich ist auch, warum sich hier so viele darüber echauffieren, dass Transgender nun Teil der Gesellschaft sein sollen. Was haben diese Menschen Ihnen denn getan, wo würden sie denn in ihren Rechten beschnitten? <br>Homo- und Transphobie sind einfach nur unnötig. Wen es nicht betrifft, sollte es ja eigentlich gar nicht interessieren. Aber anscheinend reicht der Fakt, dass manche Menschen den eigenen Lebensstil nicht teilen, zum Hass.;1;;;;;
Ich hasse ich die Afd aber das ist Witzig.;0;;;;;
"It is funny because it&#39;s TRUE. Wie traurig.";0;;;;;
Das Szenario ist natürlich schon lustig aber ich glaube er hat den Punkt etwas verfehlt... zumindest nach meinem Verständnis der ganzen Debatte.;0;;;;;
Ich mag die AfD ja nicht aber das war genial! xD;0;;;;;
Was für ein Idiot. Der ahnt es nicht....;0;;;;;
Egelhaft nazi ich wehle afd aber das ist zuviel hast  du keine spiegel  das ist zu viel die cheffin ist auch lesbisch was soll das das ist der fehler der afd nur meckern..ja ok aber nicht übertreiben hitler vollte auch das vol nur <br>Blonde hare blau auge und mindestens 180 .und war er so ? <br>Will die afd auch nachmacher seid auch so....bitte in grenze halten oder muss ich eine neu partei nimmt eine beispiel von sarazzin...;1;;;;;
Das Land der Dichter und Denker.<br>Das Land der Richter und Henker.<br><br><br><br><br><br><br>Und nun das Land der.. Vollidioten.;0;;;;;
Er sagt schwule und lesben??? Seit wann spricht man Leute mit ihrer Sexualität an?;1;;;;;
Was genau ist ein Gänder?;1;;;;;
Ich kann dir AfD echt nicht leiden aber das ist nicht schlecht 🙈;0;;;;;
Das ist alles so lächerlich geworden...;0;;;;;
Kindergarten....einfach Kindergarten;0;;;;;
"Die Schizophrenie der AfD ist schon geil. Einerseits &quot;Die Muslime akzeptieren unsere vielfältige Gesellschaft nicht&quot; schreien, andererseits genau diese vielfältige Gesellschaft selbst hassen. Sehr entlarvend 👍";1;;;;;
Muss ich das jetzt auch in Bewerbungen und anderen Schreiben angeben um nicht verklagt zu werden?;0;;;;;
Ich versteh nur Bahnhof kann mir das Mal einer erklären wo das war und was das soll ???;0;;;;;
"MMensch! deshalb eine geschlechtsneutrale Anrede, wie das &quot;han&quot; in schweden..";1;;;;;
Haha, was für ein Looser :));0;;;;;
😂😂;0;;;;;
Für die AFD sehr stark haha;0;;;;;
Alles andere ausser Mann und Frau ist krank und gehört behandelt. Die Natur hat das doch so vorbestimmt, alles andere ist scheiß Grüne Gehirnwäsche.;1;;;;;
Meme;0;;;;;
"Super, das sollten sie öfter machen, bis es den anderen zum Hals raus hängt. Man kann sich ja immer auf die Gleichstellungshöflichkeit beziehen. Schön auch zu sehen, wie die Frau in blond oben rechts betreten rein schaut.;-) War wahrscheinlich eine von der SPD oder Grün.";1;;;;;
Sehr geehrte Menschen wäre deutlich einfacher gewesen;0;;;;;
Leider wiederholt er sich manchmal😕;0;;;;;
Sehr geehrte AFD Anhänger, anhand davon sieht man mal wieder, wie ihr euch die Sachen nach belieben auslegt. Keiner besteht hier auf eine Sondergrüßung für z.B Homosexuelle. Hier geht es nicht um eine Genderfrage im Sinne der Höflichkeiten und Begrüßungen, sondern um die Freiheit jedes Einzelnen, seine Sexualität auszuleben. Da man bei der AFD ja gerne überspitzt muss man jetzt nicht fragen, wieso da Geschlechtsbezeichnungen gedoppelt und verdreifacht Aufgezählt werden, oder wieso wird hier z.B. Sehr geehrte Transfrauen, Sehr geehrte Transnänner, Sehr geehrte Transmenschen gesagt? Wurde ja vorher auch nicht Sehr geehrte Damen und Herren und Menschen gesagt. Und das ist nur ein Beispiel von jedem Zweiten hier.;1;;;;;
Soo ihr linksgrünversiften Idioten merkt ihr selber Oder?;0;;;;;
Göttlich !!!;0;;;;;
Wo ist mein Gender? :(<br>Die haben mein Gender, Civil/Attackierender Helikopter, nicht erwähnt :(<br>Anzeige ist raus<br>Kappa;1;;;;;
Naja - etwas übertrieben, das Ganze. - Aber unterhaltsam.;0;;;;;
Wie geistig verwahrlost ist unser Volk heute !Die Rede haette mit dem Wort Geisteskrank stark verkürzt werden können.Ich denke,es gibt kein.anderes Volk welches so ausgesprochen dumm und selbst zerstörend ist als das Deutsche Volk,zumindest in Europa !;1;;;;;
Was ist aus dem guten alten: moin moin geworden? Das pass 24h 365 Tage im Jahr auch an Feiertagen und bei jedem Geschlecht;1;;;;;
Wenn zwei Leute offensichtlich denken, dass eine Krawatte aus einem Idioten noch keinen Redner macht.;0;;;;;
Schwul ist kein Geschlecht?😂🤫;1;;;;;
Ich bin auch fuer toleranz gegenueber schwulen und lespen und allen anderen sexuellen orientierungen solange es sich um Erwachsene dreht aber bei diesem Video musste ich herzhaft lachen.Was zuviel ist zuviel!;1;;;;;
Hahahahahahazaahahahahaha;0;;;;;
Der labert zig mal das gleiche;0;;;;;
Haha xD;0;;;;;
Der letzte Satz killt einfach. Wobei das ganze eigentlich nur ein Satz war;0;;;;;
Wow,.. dafür gehen unsere Steuergelder also flöten ...;0;;;;;
Haha... phantastisch... auweia... geil  😂👍😂;0;;;;;
Ich glaub ich bekomm die Tür Ned zu was für ein scheiß;0;;;;;
.....sehr geehrte Bundesgenderin.....;1;;;;;
Es gibt 3 Geschlechter.Männlich.Weiblich und therapiebedürftig !!!!;1;;;;;
Mann, Frau, Drag, Schwul, Lesben, Transgender, mir alles bereits bekannt. <br><br>Den Rest aber, den musste ich erstmal googeln 😅;1;;;;;
Soooo Geil 😂😂😂;0;;;;;
So ein Idiot 😂😂😂 der hat auch vieles einfach Doppelt und dreifach aufgezählt. Wie beschränkt kann man nur bitte sein? XD;0;;;;;
Ha ha ha;0;;;;;
xDDD!;0;;;;;
Was für ein Idiot.<br>Der soll doch einfach seine politische  Arbeit machen, für die er dummerweise gewählt worden ist, anstatt nur Verachtung zum Ausdruck zu bringen.<br><br>So weit sind wir schon in Deutschland, dass die Freiheit der Rede in unseren Parlamenten für so selbstverständlich gehalten und für so einen Scheiß mißbraucht wird.;0;;;;;
Sensationell!! 💪😂✊;0;;;;;
Einfach nur geil👍Da werden diese Schwachmaten mit ihrem Genderwahnsinn konfrontiert 😊;1;;;;;
Ich glaube sehr geehrte Menschen würde reichen. Wir sind alle Menschen. Nicht mehr, nicht weniger. Das müsste sich ändern...;0;;;;;
Deutschland ist eine Lachnummer. Eine Regierung voll gepackt mit hässlichen Fratzen und Versagern. Fette Idioten an der Macht. Es ist erwiesen, dass attraktive Menschen einen höheren IQ haben als hässliche. Ein Blick in den Bundestag genügt zur Bestätigung.;0;;;;;
Damals gab es nur Mann und Frau. So wie es biologisch eben ist. Und keiner hat sich beklagt.;1;;;;;
Er muss ja schon alles ablesen;0;;;;;
Wtf 😂😂;0;;;;;
Pfui! Transgender stoppen!;1;;;;;
🙋🏼;0;;;;;
Nur sinnlos Fakeprofile, die hier kommentieren. <br>Nicht ernst nehmen.;0;;;;;
Wo haben se den denn ausgegraben? Und solche Leute haben einen höheren Anspruch auf Steuergelder als die anderen Idioten?;0;;;;;
Das ist seltsam geschnitten <br>Ich vertraue diesem Schnitt nicht ganz<br>Das ist typisch AfD <br>Lass die Leute doch ihr seltsames Leben leben.<br>Ich mach ein Sternchen vor *innen und gut ist ich brauche da nichts ins lächerliche zu ziehen;0;;;;;
Die Grünen haben Glocken in der Birne...;0;;;;;
Es ist toll das die AFD konstruktiv an der Zukunft Deutschlands mitarbeitet,;0;;;;;
Muahahahaha ich habe mich bepisst vor lachen.;0;;;;;
Er merkt nicht das er sich wiederholt 😂;0;;;;;
Ist der niedlich! Genauso krank ist dieses Land ....hahaha😂<br>Und nun ist die Redezeit vorbei .<br>Das genau ist der Grund, weshalb dieses Land den Bach runtergeht, weil sie sich nur mit Genderwahnsinn beschäftigen und vor lauter Laberei nicht mehr zum Arbeiten kommen. (Womit ich natürlich nicht die AfD, sondern die Altparteien meine. Das muss man hier betonen, weil einem sonst die Worte im Mund verdreht werden.)<br>Herrliche Satire von dem Redner!;1;;;;;
Ich glaube der Herr Abgeordnete der AFD Fraktion wirft hier Sexualitäten mit Geschlechtern durcheinander.;1;;;;;
Schön, wenn sich ein Politiker mal wirklich kurz hält und nur das nötigste sagt!;0;;;;;
😂😂😂😂😂😂😂😂😂😂 jemand flog übers Kuckucksnest;0;;;;;
Was???😂🤭;0;;;;;
Genau dahin wird es sich entwickeln. Da weiß man nicht ob man lachen oder weinen soll.;0;;;;;
Wir verblöden im Kollektiv🤦🏼;0;;;;;
